"","hashtags3","Freq"
"1","Virus",0.0143066305127847
"2","WorldPressFreedomDay",0.0126931912864649
"3","WATCH",0.0110797520601452
"4","ãƒ¼19",0.0107281667959023
"5","China",0.00860179838270778
"6","lockdown",0.00732308759289316
"7","CDC",0.0072941901739143
"8","Warriors",0.00683905582499723
"9","India",0.00541104170379182
"10","Iran",0.00537251181182001
"11","Trump",0.00488607192567584
"12","IndiaFights",0.00483309332421459
"13","C",0.00470787117530619
"14","StayHome",0.00440204015777991
"15","Wuhan",0.00438518333004224
"16","BREAKING",0.00431293978259508
"17","pandemic",0.00372295081177666
"18","Lockdown",0.00370609398403899
"19","LongTermCare",0.00313055372271
"20","IndiaSalutesWarriors",0.0030679426482558
"21","BorisJohnson",0.00291623119861678
"22","Marr",0.00291623119861678
"23","Chinas",0.00285843636065905
"24","Taiwan",0.00280545775919781
"25","US",0.00269468431977884
"26","Ramadan",0.00267541937379293
"27","WPFD2020",0.00261040018109049
"28","U",0.00242256695772789
"29","Press",0.00242015883947965
"30","SARSCoV2",0.0023166097548054
"31","Turkey",0.00227567174458535
"32","PressFreedom",0.00223954997086177
"33","Vietnam",0.00213600088618752
"34","Nigeria",0.0021287765314428
"35","WHO",0.00209506287596746
"36","AarogyaSetu",0.00207820604822979
"37","N95",0.00207338981173332
"38","LOCKDOWN2020",0.00205171674749917
"39","Madagascar",0.00201800309202383
"40","SocialDistancing",0.00197706508180378
"41","WeThePeople",0.00195298389932139
"42","IndianArmedForces",0.00195057578107315
"43","Pandemic",0.00193612707158372
"44","Pakistan",0.00188555658837072
"45","1",0.00187351599712952
"46","AI",0.00186629164238481
"47","coron",0.00186388352413657
"48","HongKong",0.00182776175041299
"49","SadSickWorld",0.00181812927742004
"50","IndianAirForce",0.00181331304092356
"51","Verified",0.00175792632121408
"52","cor",0.00175551820296584
"53","CO",0.00175070196646936
"54","Tanzanias",0.00171217207449755
"55","SundayMorning",0.00170253960150459
"56","Ridge",0.00168086653727045
"57","NHS",0.00166160159128454
"58","Tcot",0.00163992852705039
"59","UK",0.00162066358106448
"60","Ccot",0.00159899051683034
"61","v",0.00156768497960324
"62","immunity",0.001565276861355
"63","IndianArmy",0.00154601191536909
"64","Kano",0.00154119567887262
"65","CCP",0.00147858460441842
"66","NYC",0.00146413589492898
"67","vaccine",0.00145450342193603
"68","Beijing",0.00142801412120541
"69","vi",0.00142078976646069
"70","USA",0.00141838164821245
"71","StayAtHome",0.00141115729346774
"72","Remdesivir",0.00140152482047478
"73","PPE",0.00139430046573007
"74","StaySafe",0.00139430046573007
"75","unconstitutional",0.00138707611098535
"76","OpenTexas",0.00138466799273712
"77","LiberateTexas",0.00137985175624064
"78","MYOB",0.00137985175624064
"79","Irans",0.00134854621901354
"80","KAG",0.0013461381007653
"81","COVI",0.00133409750952411
"82","Communist",0.00131242444528996
"83","MachineLearning",0.00131242444528996
"84","COV",0.00130760820879348
"85","Covid",0.00130520009054525
"86","Foxandfriends",0.00126907831682167
"87","s",0.00122573218835338
"88","Uyghur",0.00120165100587099
"89","DataScience",0.00119442665112628
"90","ML",0.00119201853287804
"91","BritishIndians",0.00118238605988508
"92","vir",0.00117516170514037
"93","school",0.00113181557667208
"94","HealthWorkers",0.0011269993401756
"95","VirusUpdates",0.00112218310367912
"96","SundayThoughts",0.00110773439418969
"97","Spygate",0.00110532627594145
"98","Warragamba",0.00104030708323902
"99","XiJinping",0.00102345025550135
"100","BSF",0.00102104213725311
"101","health",0.00101863401900487
"102","Covido19",0.00101381778250839
"103","Yemen",0.00101140966426015
"104","2019",0.00100659342776368
"105","IForIndia",0.000994552836522485
"106","Russian",0.000989736600026008
"107","PoliceForce",0.000982512245281292
"108","Kerala",0.000975287890536577
"109","stayhome",0.000965655417543623
"110","CO2",0.000963247299295385
"111","SanitationWorkers",0.000943982353309477
"112","Aus",0.000927125525571808
"113","Bollywood",0.000922309289075331
"114","CORONA",0.000922309289075331
"115","co",0.000917493052578854
"116","c",0.000915084934330615
"117","Hydroxychloroqui",0.000912676816082377
"118","IFORINDIA",0.000910268697834138
"119","Italy",0.0009078605795859
"120","covid",0.000903044343089423
"121","Chinese",0.000895819988344708
"122","Co",0.000883779397103515
"123","StayHomeSaveLives",0.000857290096372892
"124","Shehn",0.000852473859876415
"125","Tanzania",0.000842841386883462
"126","NotAlone",0.000833208913890508
"127","Russia",0.000830800795642269
"128","socialdistancing",0.000818760204401077
"129","TrumpPres",0.0008139439679046
"130","Canada",0.000811535849656361
"131","IndianArmedFo",0.000801903376663408
"132","NOW",0.000797087140166931
"133","antiELAB",0.000792270903670454
"134","Modi",0.000789862785422215
"135","Update",0.0007826384306775
"136","Spain",0.000777822194181023
"137","FiveEyes",0.000765781602939831
"138","t",0.000765781602939831
"139","economy",0.000758557248195115
"140","Biden",0.000736884183960969
"141","FakeNews",0.000729659829216254
"142","FreePress",0.000727251710968015
"143","mentalhealth",0.000727251710968015
"144","healthcare",0.0007200273562233
"145","EssentialWorkers",0.000717619237975061
"146","Ontario",0.000717619237975061
"147","IOTS",0.000707986764982108
"148","NTK4TamilNadu",0.000707986764982108
"149","coro",0.000698354291989154
"150","VersovaVidhansabha",0.000695946173740915
"151","Delhi",0.000693538055492677
"152","Brexit",0.000686313700747962
"153","uk",0.000676681227755008
"154","Fighters",0.000674273109506769
"155","Lockdown3",0.000674273109506769
"156","Africa",0.000667048754762054
"157","Germany",0.000667048754762054
"158","BillGates",0.000659824400017338
"159","GivingTuesdayNow",0.000659824400017338
"160","ArmedForces",0.0006574162817691
"161","Australia",0.000655008163520862
"162","PoorvikaMobiles",0.000650191927024385
"163","quarantine",0.000647783808776146
"164","Texas",0.000642967572279669
"165","startups",0.000640559454031431
"166","viru",0.000635743217534954
"167","remdesivir",0.000633335099286715
"168","staysafe",0.000633335099286715
"169","S",0.000630926981038477
"170","Flu",0.000626110744542
"171","Thailand",0.000623702626293761
"172","WashingtonDC",0.000623702626293761
"173","PTI",0.000621294508045523
"174","Somalia",0.000621294508045523
"175","America",0.000618886389797285
"176","NWO",0.000618886389797285
"177","TweetforTaiwans",0.000618886389797285
"178","Maharashtra",0.000611662035052569
"179","SaudiArabia",0.000609253916804331
"180","RIPBankerUdayKamath",0.000602029562059615
"181","Syria",0.000602029562059615
"182","isolation",0.000599621443811377
"183","Taiwans",0.000597213325563138
"184","vaccines",0.000597213325563138
"185","Democrats",0.000589988970818423
"186","IBelieveTaraReade",0.000589988970818423
"187","NIH",0.000589988970818423
"188","StayHomeSaveLiv",0.000585172734321946
"189","ArmedForcesSalut",0.000582764616073708
"190","history",0.000582764616073708
"191","DPA",0.000573132143080754
"192","science",0.000573132143080754
"193","TrumpOwnsEveryDeath",0.000573132143080754
"194","DeepState",0.000570724024832515
"195","ShahRukhKhans",0.000565907788336038
"196","Gilead",0.000558683433591323
"197","TamilNadu",0.000558683433591323
"198","WestBe",0.000556275315343085
"199","TaiwanModel",0.000553867197094846
"200","climate",0.000546642842350131
"201","news",0.000546642842350131
"202","Odisha",0.000546642842350131
"203","CapitolHill",0.000541826605853654
"204","IAF",0.000541826605853654
"205","P",0.000539418487605415
"206","RT",0.000534602251108938
"207","TestRedZoneBankers",0.000534602251108938
"208","AJStartHere",0.000529786014612461
"209","RIMPAC",0.000529786014612461
"210","CCPVirus",0.000527377896364223
"211","india",0.000527377896364223
"212","technology",0.000524969778115985
"213","California",0.000522561659867746
"214","AerialSalute",0.000515337305123031
"215","torybrexit",0.000515337305123031
"216","CovidWarriors",0.000510521068626554
"217","shutdown",0.000510521068626554
"218","flu",0.000508112950378315
"219","indianairforce",0.000508112950378315
"220","tracking",0.000505704832130077
"221","worldpressfreedomday",0.000505704832130077
"222","Ayurveda",0.000503296713881838
"223","Bangladesh",0.000503296713881838
"224","facemask",0.000503296713881838
"225","sundayvibes",0.000503296713881838
"226","healthworkers",0.0005008885956336
"227","End",0.000498480477385362
"228","Vaccine",0.000496072359137123
"229","Humphrey",0.000493664240888885
"230","LateLateShow",0.000493664240888885
"231","HumanRights",0.000491256122640646
"232","WHA73",0.000488848004392408
"233","mask",0.000484031767895931
"234","Roadmap",0.000484031767895931
"235","SanitaryPadsto",0.000481623649647692
"236","View",0.000481623649647692
"237","associated",0.000476807413151215
"238","nature",0.000476807413151215
"239","WhatWouldReaganSay",0.000476807413151215
"240","EU",0.000471991176654738
"241","wildlife",0.000471991176654738
"242","MentalHealth",0.0004695830584065
"243","MitchMcConnell",0.0004695830584065
"244","Chennai",0.000467174940158262
"245","DonaldTrump",0.000464766821910023
"246","USArmy",0.000464766821910023
"247","Iranian",0.000462358703661785
"248","MayDay2020",0.000459950585413546
"249","April2020",0.000457542467165308
"250","NancyPelosi",0.000455134348917069
"251","Europe",0.000452726230668831
"252","BlueLivesMatter",0.000447909994172354
"253","NTK",0.000447909994172354
"254","McConnellPelosi",0.000445501875924115
"255","MSMEs",0.000445501875924115
"256","flattenthec",0.000443093757675877
"257","TakeResponsiblity",0.000443093757675877
"258","WorldPressFre",0.000443093757675877
"259","Georgia",0.000433461284682923
"260","MadagascarCure",0.000433461284682923
"261","infected",0.000431053166434685
"262","pressfreedom",0.000431053166434685
"263","Hongkong",0.000428645048186446
"264","covi",0.000426236929938208
"265","KejriwalShowsTheWay",0.000426236929938208
"266","Brazil",0.000423828811689969
"267","Lagos",0.000423828811689969
"268","5G",0.000421420693441731
"269","60minutes",0.000421420693441731
"270","Malaysia",0.000421420693441731
"271","UAE",0.000421420693441731
"272","Quarantine",0.000419012575193492
"273","Florida",0.000416604456945254
"274","inSA",0.000416604456945254
"275","Stayho",0.000416604456945254
"276","WuhanVirus",0.000416604456945254
"277","Japan",0.000414196338697015
"278","Sweden",0.000414196338697015
"279","France",0.000409380102200538
"280","Pompeo",0.000409380102200538
"281","Fauci",0.0004069719839523
"282","Outbreak",0.0004069719839523
"283","Cuba",0.000402155747455823
"284","INSVikramaditya",0.000399747629207585
"285","Jaguar",0.000399747629207585
"286","NationalPoliceMemorial",0.000399747629207585
"287","SA",0.000399747629207585
"288","MAGA",0.000394931392711108
"289","Toronto",0.000394931392711108
"290","CentralCommand",0.000392523274462869
"291","DavidIcke",0.000392523274462869
"292","day38oflockdown",0.000392523274462869
"293","PressFreedomDay",0.000392523274462869
"294","doctors",0.000390115156214631
"295","masks",0.000390115156214631
"296","opposition",0.000390115156214631
"297","TestTraceIsolate",0.000390115156214631
"298","AndhraPradesh",0.000387707037966392
"299","covid19",0.000387707037966392
"300","auspol",0.000385298919718154
